ProductID,ProductName,BrandDesc,ProductSize,Currency,MRP,SalePrice,Discount,BrandID
FR001,Cologne Fragrance,ekw eau de cologne 400 ml,Small,Rs.,3900,3120,20% off,1
DRW1,DRW1 - Westernwear-Women,womens v- neck short dress - yellow,"Size:Medium,Small,X-Large,XX-Large",Rs.,1899,569,70% off,2
DRW2,DRW2 - Westernwear-Women,womens round neck solid top - black,"Size:Large,Medium,Small,X-Large",Rs.,1499,599,60% off,2
DRW3,DRW3 - Westernwear-Women,womens round neck stripe shift dress - red,"Size:Medium,Small",Rs.,1599,639,60% off,2
DRW4,DRW4 - Westernwear-Women,womens round neck solid high low top - black,"Size:Large,Medium,Small,X-Large",Rs.,1199,479,60% off,2
DRW5,DRW5 - Westernwear-Women,womens v-neck solid top - black,"Size:Large,Medium,Small,X-Small",Rs.,1199,479,60% off,2
DRW6,DRW6 - Westernwear-Women,womens off shoulder neck checked top - navy,"Size:Small,X-Large",Rs.,1299,519,60% off,2
DRW7,DRW7 - Westernwear-Women,womens v neck checked top - black,"Size:Large,Medium,Small",Rs.,1499,599,60% off,2
DRW8,DRW8 - Westernwear-Women,womens round neck solid shift dress - black,Size:Medium,Rs.,1799,719,60% off,2
DRW9,DRW9 - Westernwear-Women,womens round neck solid top - black,"Size:Large,Medium,X-Large,XX-Large",Rs.,999,399,60% off,2
DRW10,DRW10 - Westernwear-Women,womens spaghetti neck printed top - natural,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1299,519,60% off,2
DRW11,DRW11 - Westernwear-Women,womens round neck embroidered top - black,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",Rs.,2499,999,60% off,2
DRW12,DRW12 - Westernwear-Women,womens mandarin collar solid eyelet skater dress - green,"Size:X-Large,XX-Large",Rs.,3499,1399,60% off,2
DRW13,DRW13 - Westernwear-Women,womens off shoulder solid shift dress - blue,"Size:Small,X-Small",Rs.,1799,539,70% off,2
DRW14,DRW14 - Westernwear-Women,womens round neck embroidered top - cream,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",Rs.,1999,799,60% off,2
DRW15,DRW15 - Westernwear-Women,womens 2 pocket solid pants - navy,"Size:Small,X-Small",Rs.,1899,759,60% off,2
DRW16,DRW16 - Westernwear-Women,womens ruffled collar self printed top - natural,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1499,599,60% off,2
DRW17,DRW17 - Westernwear-Women,womens round neck solid top - birch,Size:X-Small,Rs.,1199,479,60% off,2
DRW18,DRW18 - Westernwear-Women,womens round neck solid knee length dress - black,Size:X-Small,Rs.,1999,799,60% off,2
DRW19,DRW19 - Westernwear-Women,womens scoop neck lace top - dark brown,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Rs.,1799,719,60% off,2
DRW20,DRW20 - Westernwear-Women,printed polyester cowl neck womens dress - multi,"Size:Large,Medium,X-Large",Rs.,2418.9,2199,10% off,2
DRW21,DRW21 - Westernwear-Women,printed rayon round neck womens top - print,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1868.9,1699,10% off,2
DRW22,DRW22 - Westernwear-Women,womens round neck textured maxi dress - black,"Size:Large,Small",Rs.,2899,1159,60% off,2
DRW23,DRW23 - Westernwear-Women,solid polyester halter neck womens top - olive,"Size:Large,Medium,X-Large,XX-Large",Rs.,1648.9,1499,10% off,2
DRW24,DRW24 - Westernwear-Women,womens tie up neck embroidered top - black,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",Rs.,1978.9,1799,10% off,2
DRW25,DRW25 - Westernwear-Women,womens 2 pocket solid trousers - green,Size:X-Small,Rs.,1499,599,60% off,2
DRW26,DRW26 - Westernwear-Women,womens off shoulder neck embroidered top - blue,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1499,599,60% off,2
DRW27,DRW27 - Westernwear-Women,womens peter pan collar solid a-line dress - black,Size:Small,Rs.,2399,959,60% off,2
DRW28,DRW28 - Westernwear-Women,womens embroidered casual skirt - grey,"Size:Small,XX-Large",Rs.,2499,999,60% off,2
DRW29,DRW29 - Westernwear-Women,womens open front neck slub long shrug - grey,Size:Small,Rs.,1799,719,60% off,2
DRW30,DRW30 - Westernwear-Women,womens mandarin collar striped long shirt - lime green,Size:Small,Rs.,1599,639,60% off,2
DRW31,DRW31 - Westernwear-Women,stripes shirt collar rayon womens casual shirt - off white,"Size:Large,Medium,Small,XX-Large",Rs.,1758.9,1599,10% off,2
DRW32,DRW32 - Westernwear-Women,womens cold shoulder sleeves self pattern top - birch,"Size:Large,Small,X-Large,XX-Large",Rs.,2299,919,60% off,2
DRW33,DRW33 - Westernwear-Women,womens strappy neck printed maxi dress - black,"Size:Small,X-Small",Rs.,2499,999,60% off,2
DRW34,DRW34 - Westernwear-Women,printed polyester round neck womens sweatshirt - maroon,"Size:Large,Medium,X-Large,XX-Large",Rs.,2748.9,2499,10% off,2
DRW35,DRW35 - Westernwear-Women,womens mandarin neck solid knee length dress - black,"Size:Large,Medium,X-Large",Rs.,2499,999,60% off,2
DRW36,DRW36 - Westernwear-Women,womens round neck floral print tunic - yellow,Size:Medium,Rs.,1799,719,60% off,2
DRW37,DRW37 - Westernwear-Women,womens off shoulder stripe embroidered top - red,"Size:Large,Medium,Small",Rs.,999,399,60% off,2
DRW38,DRW38 - Westernwear-Women,womens 5 pocket solid pants - navy,"Size:Large,Medium,Small,X-Large,X-Small",Rs.,2899,1159,60% off,2
DRW39,DRW39 - Westernwear-Women,womens round neck solid jumpsuit - dark brown,Size:Large,Rs.,1999,799,60% off,2
DRW40,DRW40 - Westernwear-Women,womens one shoulder printed top - multi,"Size:Small,X-Large,X-Small",Rs.,1428.9,1299,10% off,2
DRW41,DRW41 - Westernwear-Women,womens round neck textured top - green,Size:XX-Large,Rs.,999,399,60% off,2
DRW42,DRW42 - Westernwear-Women,womens collared stripe top - black,"Size:Large,Medium,Small,X-Small",Rs.,1199,479,60% off,2
DRW43,DRW43 - Westernwear-Women,womens off shoulder embroidered top - cream,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1699,679,60% off,2
DRW44,DRW44 - Westernwear-Women,womens floral print empire waist dress - grey,"Size:Medium,Small",Rs.,2199,879,60% off,2
DRW45,DRW45 - Westernwear-Women,womens round neck slub top - grey,"Size:X-Large,X-Small",Rs.,1499,599,60% off,2
DRW46,DRW46 - Westernwear-Women,womens round neck lace top - pink,Size:X-Large,Rs.,1799,719,60% off,2
